Drag Coefficient,Optimal Angle (degrees)
0.0,45
0.2,44
0.4,44
0.6000000000000001,44
0.8,43
1.0,43
1.2,43
1.4,42
1.5999999999999999,40
1.7999999999999998,41
1.9999999999999998,41
2.1999999999999997,39
2.4,38
2.6,39
2.8000000000000003,38
3.0000000000000004,39
3.2000000000000006,38
3.400000000000001,38
3.600000000000001,37
3.800000000000001,37
4.000000000000001,36
4.200000000000001,36
4.400000000000001,36
4.600000000000001,36
4.800000000000002,36
5.000000000000002,36
5.200000000000002,36
5.400000000000002,36
5.600000000000002,33
5.8000000000000025,33
6.000000000000003,35
6.200000000000003,35
6.400000000000003,34
6.600000000000003,33
6.800000000000003,33
7.0000000000000036,32
7.200000000000004,32
7.400000000000004,33
7.600000000000004,32
7.800000000000004,31
8.000000000000004,31
8.200000000000003,32
8.400000000000002,31
8.600000000000001,31
8.8,31
9.0,30
9.2,32
9.399999999999999,30
9.599999999999998,30
9.799999999999997,30
9.999999999999996,30
